724 253 16.6934 0.124435 
222 254 66.7735 0.456514 
222 255 33.3868 0.181274 
12 256 50.0802 0.340068 
12 257 16.6934 0.231777 
300 258 33.3868 0.25397 
300 259 16.6934 0.139822 
850 260 116.854 0.70916 
850 261 50.0802 0.649821 
784 262 300.481 1.14805 
784 263 16.6934 0.280852 
129 264 100.16 0.420054 
129 265 83.4669 0.684222 
31 266 16.6934 0.142758 
31 267 16.6934 0.150953 
430 268 83.4669 0.501742 
430 269 16.6934 0.335872 
146 270 434.028 1.47403 
146 271 50.0802 0.523503 
422 272 16.6934 0.141304 
422 273 16.6934 0.381946 
185 274 16.6934 0.13862 
185 275 16.6934 0.21254 
207 276 16.6934 0.0555525 
207 277 66.7735 0.424903 
65 278 150.24 0.741322 
65 279 100.16 0.758657 
23 280 1502.4 2.87378 
23 281 100.16 0.607861 
219 282 16.6934 0.12347 
219 283 66.7735 0.46601 
130 284 834.669 2.20083 
130 285 50.0802 0.432416 
796 286 16.6934 0.0644895 
796 287 16.6934 0.193025 
720 288 233.707 1.09487 
720 289 50.0802 0.466829 
804 290 16.6934 0.10343 
804 291 33.3868 0.359205 
684 292 16.6934 0.127061 
684 293 33.3868 0.315069 
388 294 534.188 1.68607 
388 295 50.0802 0.236344 
225 296 16.6934 0.42976 
225 297 16.6934 0.0649834 
952 298 200.321 0.902199 
952 299 66.7735 0.433316 
264 300 50.0802 0.316751 
264 301 50.0802 0.255813 
284 302 784.589 2.15494 
284 303 50.0802 0.37131 
776 304 267.094 1.10341 
776 305 83.4669 0.469238 
394 306 16.6934 0.113217 
394 307 33.3868 0.341538 
746 308 16.6934 0.208366 
746 309 33.3868 0.193511 
17 310 567.575 2.06187 
17 311 50.0802 0.314595 
476 312 83.4669 0.726234 
476 313 100.16 0.536059 
644 314 16.6934 0.23573 
644 315 233.707 1.01796 
309 316 16.6934 0.0825777 
309 317 16.6934 0.138102 
193 318 16.6934 0.10601 
193 319 16.6934 0.121808 
310 320 534.188 2.08589 
310 321 33.3868 0.215062 
936 322 50.0802 0.435464 
936 323 83.4669 0.668412 
32 324 33.3868 0.28813 
32 325 16.6934 0.183975 
256 326 33.3868 0.181899 
256 327 16.6934 0.199377 
704 328 166.934 0.80729 
704 329 33.3868 0.380148 
255 330 16.6934 0.116216 
255 331 16.6934 0.0704196 
53 332 116.854 0.546138 
53 333 16.6934 0.358739 
29 334 517.495 1.65524 
29 335 33.3868 0.270072 
944 336 33.3868 0.255653 
944 337 16.6934 0.100763 
800 338 50.0802 0.362512 
800 339 33.3868 0.49951 
103 340 16.6934 0.133153 
103 341 66.7735 0.466544 
89 342 33.3868 0.332575 
89 343 50.0802 0.500341 
